x__,X__,Y__,x___1,x____,x_____1,x_____,amplitude_1,phase_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1100,1135.350591,295.6626514,1,5.620233206,0.788178808996736-0.615446313701274i,0.000869471,-2.582179067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1200,816.2350139,188.0347751,0.125149329,2.683424818,-0.112241975555595+0.0553542550609879i,9.81E-06,-0.427344181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1100,2940.454484,331.1670827,0.132459563,3.247246208,-0.131720948658523-0.0139688015177274i,3.20E-05,2.638980973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1700,2152.937511,294.6462242,0.178720831,4.63705932,-0.0134502503802157-0.178213989630827i,4.39E-05,3.006288719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1300,2524.982511,54.16169558,0.117085372,5.614548817,0.0918731047751906-0.0725831730314112i,2.44E-05,0.534415025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1700,2378.407467,79.68968403,0.265482902,2.999870377,-0.262821222206557+0.0374990172327788i,4.55E-05,-2.344027691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1400,263.9879836,212.1275576,0.131547552,1.856384443,-0.0370598125165849+0.126219367695914i,7.69E-06,-0.495318043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1800,2272.832955,352.4777839,0.2218544,4.362673189,-0.0760141539243714-0.208425581420742i,0.000154927,2.891678543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1300,2257.06774,138.5588581,0.136679017,1.743510912,-0.0234892699377358+0.134645489759462i,1.84E-05,2.969997889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1600,804.4181855,151.9744283,0.27642264,4.888754883,0.0484991857330138-0.272134718232462i,6.56E-05,-2.360236658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1300,1719.829572,102.4539684,1,5.374079863,0.61445175898274-0.788954394045065i,0.000721498,0.152805599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,4304.046914,52.60732871,0.277750941,3.259386408,-0.275826219696121-0.0326417177621856i,0.000135513,2.677590703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1200,3297.015444,23.38419975,0.245168597,2.619080013,-0.212455251456312+0.122353615738169i,0.000174184,0.783257485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1700,1023.411848,357.4629648,0.112508,0.432353907,0.102155233819681+0.0471418944185854i,5.67E-06,-0.164651146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
